genus,species
Siganus,canaliculatus
Siganus,javus
Sillago,sihama
Silurus,glanis
Silurus,meridionalis
Pegusa,lascaris
Solea,ovata
Solea,solea
Acanthopagrus,latus
Diplodus,bellottii
Diplodus,sargus
Diplodus,vulgaris
Lagodon,rhomboides
Pagrus,major
Rhabdosargus,holubi
Sarpa,salpa
Stenotomus,chrysops
Anoplarchus,purpurescens
Corythoichthys,intestinalis
Amniataba,percoides
Bidyanus,bidyanus
Terapon,jarbua
Terapon,theraps
Sphoeroides,annulatus
Umbra,limi
Lycodichthys,dearborni
Pachycara,brachycephalum
