genus_species,genus,species,phylum,order,family,class
Epinephelus fuscoguttatus,Epinephelus,fuscoguttatus,NA,NA,Serranidae,Actinopteri
Epinephelus tauvina,Epinephelus,tauvina,NA,NA,Serranidae,Actinopteri
Eremias multiocellata,Eremias,multiocellata,Chordata,Squamata,Lacertidae,Lepidosauria
Esox lucius,Esox,lucius,NA,NA,Esocidae,Actinopteri
Esox masquinongy,Esox,masquinongy,NA,NA,Esocidae,Actinopteri
Etheostoma blennioides,Etheostoma,blennioides,NA,NA,Percidae,Actinopteri
Etheostoma caeruleum,Etheostoma,caeruleum,NA,NA,Percidae,Actinopteri
Etheostoma cragini,Etheostoma,cragini,Chordata,Perciformes,Percidae,Actinopteri
Etheostoma flabellare,Etheostoma,flabellare,NA,NA,Percidae,Actinopteri
Etheostoma nigrum,Etheostoma,nigrum,NA,NA,Percidae,Actinopteri
Etheostoma spectabile,Etheostoma,spectabile,NA,NA,Percidae,Actinopteri
Etroplus suratensis,Etroplus,suratensis,NA,NA,Cichlidae,Actinopteri
Eurycea longicauda,Eurycea,longicauda,Chordata,Caudata,Plethodontidae,Amphibia
Eurycea lucifuga,Eurycea,lucifuga,Chordata,Caudata,Plethodontidae,Amphibia
Eurycea multiplicata,Eurycea,multiplicata,Chordata,Caudata,Plethodontidae,Amphibia
Fundulus heteroclitus,Fundulus,heteroclitus,NA,NA,Fundulidae,Actinopteri
Fundulus parvipinnis,Fundulus,parvipinnis,Chordata,Cyprinodontiformes,Fundulidae,Actinopteri
Fundulus zebrinus,Fundulus,zebrinus,NA,NA,Fundulidae,Actinopteri
Galaxias fasciatus,Galaxias,fasciatus,Chordata,Galaxiiformes,Galaxiidae,Actinopteri
Galaxias maculatus,Galaxias,maculatus,Chordata,Galaxiiformes,Galaxiidae,Actinopteri
Gambusia affinis,Gambusia,affinis,NA,NA,Poeciliidae,Actinopteri
Gasterosteus aculeatus,Gasterosteus,aculeatus,Chordata,Perciformes,Gasterosteidae,Actinopteri
Gastrophryne carolinensis,Gastrophryne,carolinensis,NA,Anura,Microhylidae,Amphibia
Gemma gemma,Gemma,gemma,Mollusca,Veneroida,Veneridae,Bivalvia
Geocrinia laevis,Geocrinia,laevis,NA,Anura,Myobatrachidae,Amphibia
Geocrinia victoriana,Geocrinia,victoriana,NA,Anura,Myobatrachidae,Amphibia
Geocrinia victoriana,Geocrinia,victoriana,Chordata,Anura,Myobatrachidae,Amphibia
