genus,species,latitude,longitude,population_id,location_description,acclim_temp,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,life_stage,phylum,class,order,family,realm_general,realm_specific,source,original_compilation,notes,extractor,ref,citation_Rohr,reference_Comte,genus_species
Lithobates,virgatipes,40,-74.84,Lithobates virgatipes_40_-74.84,"Burlington, New Yersey, USA",5,6,35.76,tmax,0.32,SE,NA,critical,onset_of_spasm,0.54,NA,NA,NA,Summer,NA,NA,Chordata,Amphibia,Anura,Ranidae,Terrestrial,NA,NA,intratherm_team,NA,FL,Holzman_&_McManus_1973,NA,NA,Lithobates virgatipes
Lithobates,virgatipes,40,-74.84,Lithobates virgatipes_40_-74.84,"Burlington, New Yersey, USA",15,6,37.41,tmax,0.23,SE,NA,critical,onset_of_spasm,0.54,NA,NA,NA,Summer,NA,NA,Chordata,Amphibia,Anura,Ranidae,Terrestrial,NA,NA,intratherm_team,NA,FL,Holzman_&_McManus_1973,NA,NA,Lithobates virgatipes
Lithobates,virgatipes,40,-74.84,Lithobates virgatipes_40_-74.84,"Burlington, New Yersey, USA",25,6,38,tmax,0.21,SE,NA,critical,onset_of_spasm,0.54,NA,NA,NA,Summer,NA,NA,Chordata,Amphibia,Anura,Ranidae,Terrestrial,NA,NA,intratherm_team,NA,FL,Holzman_&_McManus_1973,NA,NA,Lithobates virgatipes
Ranoidea,gracilenta,-23,143,Ranoidea gracilenta_-23_143,"Southwest Queensland, Australia",15,7,37.2443,tmax,NA,NA,8,critical,righting_ability,0.3,NA,NA,NA,Summer,NA,NA,Chordata,Amphibia,Anura,Hylidae,Terrestrial,NA,NA,intratherm_team,CTmax measured across the time. Thermal limits extracted using OOo Digitizer,FL,Johnson_1972,NA,NA,Ranoidea gracilenta
Ranoidea,gracilenta,-23,143,Ranoidea gracilenta_-23_143,"Southwest Queensland, Australia",15,7,37.7329,tmax,NA,NA,8,critical,righting_ability,0.3,NA,NA,NA,Summer,NA,NA,Chordata,Amphibia,Anura,Hylidae,Terrestrial,NA,NA,intratherm_team,CTmax measured across the time. Thermal limits extracted using OOo Digitizer,FL,Johnson_1972,NA,NA,Ranoidea gracilenta
Ranoidea,gracilenta,-23,143,Ranoidea gracilenta_-23_143,"Southwest Queensland, Australia",15,7,37.14658,tmax,NA,NA,10,critical,righting_ability,0.3,NA,NA,NA,Summer,NA,NA,Chordata,Amphibia,Anura,Hylidae,Terrestrial,NA,NA,intratherm_team,CTmax measured across the time. Thermal limits extracted using OOo Digitizer,FL,Johnson_1972,NA,NA,Ranoidea gracilenta
Ranoidea,gracilenta,-23,143,Ranoidea gracilenta_-23_143,"Southwest Queensland, Australia",15,7,38.18241,tmax,NA,NA,8,critical,righting_ability,0.3,NA,NA,NA,Summer,NA,NA,Chordata,Amphibia,Anura,Hylidae,Terrestrial,NA,NA,intratherm_team,CTmax measured across the time. Thermal limits extracted using OOo Digitizer,FL,Johnson_1972,NA,NA,Ranoidea gracilenta
Ranoidea,gracilenta,-23,143,Ranoidea gracilenta_-23_143,"Southwest Queensland, Australia",15,7,37.94788,tmax,NA,NA,9,critical,righting_ability,0.3,NA,NA,NA,Summer,NA,NA,Chordata,Amphibia,Anura,Hylidae,Terrestrial,NA,NA,intratherm_team,CTmax measured across the time. Thermal limits extracted using OOo Digitizer,FL,Johnson_1972,NA,NA,Ranoidea gracilenta
Ranoidea,gracilenta,-23,143,Ranoidea gracilenta_-23_143,"Southwest Queensland, Australia",15,7,38.35831,tmax,NA,NA,7,critical,righting_ability,0.3,NA,NA,NA,Summer,NA,NA,Chordata,Amphibia,Anura,Hylidae,Terrestrial,NA,NA,intratherm_team,CTmax measured across the time. Thermal limits extracted using OOo Digitizer,FL,Johnson_1972,NA,NA,Ranoidea gracilenta
Ranoidea,gracilenta,-23,143,Ranoidea gracilenta_-23_143,"Southwest Queensland, Australia",15,7,37.90879,tmax,NA,NA,8,critical,righting_ability,0.3,NA,NA,NA,Summer,NA,NA,Chordata,Amphibia,Anura,Hylidae,Terrestrial,NA,NA,intratherm_team,CTmax measured across the time. Thermal limits extracted using OOo Digitizer,FL,Johnson_1972,NA,NA,Ranoidea gracilenta
