"species","v1","v2","scientificName","kingdom","phylum","class","order","family","db","db_code","reported_name_fixed","reported_name"
"Glaucidium capense",0,1,"Glaucidium capense","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:5232102","Glaucidium capense","Glaucidium capense"
"Glaucidium gnoma",1,1,"Glaucidium gnoma","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:9616953","Glaucidium gnoma","Glaucidium gnoma"
"Glaucidium passerinum",1,1,"Glaucidium passerinum","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:5232162","Glaucidium passerinum","Glaucidium passerinum"
"Glaucidium perlatum",0,1,"Glaucidium perlatum","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:5232086","Glaucidium perlatum","Glaucidium perlatum"
"Chloroclystis griseorufa",0,1,"Chloroclystis griseorufa","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1989462","Glaucoclystis griseorufa","Glaucoclystis griseorufa"
"Glaucomys sabrinus",0,1,"Glaucomys sabrinus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:2437331","Glaucomys sabrinus","Glaucomys sabrinus"
"Glaucomys volans",1,1,"Glaucomys volans","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:2437338","Glaucomys volans","Glaucomys volans"
"Glaucopsyche alexis",1,1,"Glaucopsyche alexis","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","gbif","GBIF:1924097","Glaucopsyche alexis","Glaucopsyche alexis"
"Glaucopsyche lygdamus",0,1,"Glaucopsyche lygdamus","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","gbif","GBIF:1924106","Glaucopsyche lygdamus","Glaucopsyche lygdamus"
"Glaux maritima",1,1,"Lysimachia maritima","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","gbif","GBIF:4007442","Glaux maritima","Glaux maritima"
"Glebionis coronaria",1,1,"Glebionis coronaria","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:7627205","Glebionis coronaria","Glebionis coronaria"
"Glebionis segetum",1,0,"Glebionis segetum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3141101","Glebionis segetum","Glebionis segetum"
"Glechoma hederacea",1,1,"Glechoma hederacea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:2926557","Glechoma hederacea","Glechoma hederacea"
"Glechoma hirsuta",1,0,"Glechoma hirsuta","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:7307991","Glechoma hirsuta","Glechoma hirsuta"
"Gleditsia aquatica",1,0,"Gleditsia aquatica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2959492","Gleditsia aquatica","Gleditsia aquatica"
"Gleditsia triacanthos",1,1,"Gleditsia triacanthos","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2959443","Gleditsia triacanthos","Gleditsia triacanthos"
"Glinus lotoides",1,1,"Glinus lotoides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Molluginaceae","gbif","GBIF:3084616","Glinus lotoides","Glinus lotoides"
"Globia sparganii",0,1,"Globia sparganii","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:4534429","Globia sparganii","Globia sparganii"
"Globularia arabica",1,1,"Globularia arabica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:5578452","Globularia arabica","Globularia arabica"
"Globularia cordifolia",1,0,"Globularia cordifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:7265184","Globularia cordifolia","Globularia cordifolia"
"Globularia nudicaulis",1,1,"Globularia nudicaulis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:7265189","Globularia nudicaulis","Globularia nudicaulis"
"Globularia punctata",1,0,"Globularia bisnagarica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:5578472","Globularia punctata","Globularia punctata"
"Globularia vulgaris",1,1,"Globularia vulgaris","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:7265191","Globularia vulgaris","Globularia vulgaris"
"Glocianus punctiger",1,1,"Glocianus punctiger","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","ncbi","NCBI:574154","Glocianus punctiger","Glocianus punctiger"
"Glomeris marginata",1,1,"Glomeris marginata","Animalia","Arthropoda","Diplopoda","Glomerida","Glomeridae","gbif","GBIF:9728038","Glomeris marginata","Glomeris marginata"
