Global variation in the thermal tolerances of plants,,,,,,,,,,,,
Lesley T. Lancaster and Aelys M. Humphreys,,,,,,,,,,,,
Proceedings of the National Academy of Sciences USA (2020),,,,,,,,,,,,
,,,,,,,,,,,,
Dataset S1:,,,,,,,,,,,,
,,,,,,,,,,,,
Plant species clean,Plant species pre-cleaning,Thermal Tolerance_deg.C,Tmin or Tmax,Tolerance measure,Hardened y/n,Hardening approach,Latitude,Longitude,Elevation,Plant family,Growth form,Reference (see sheet 2 for full citation information)
Agave_schottii,Agave_schottii,61.1,Tmax,LT50,y,laboratory acclimation,31.5,-111,1430,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_shawii,Agave_shawii,-7.9,Tmin,LT50,y,laboratory acclimation,31,-116,20,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_shawii,Agave_shawii,-7.1,Tmin,LT50,n,laboratory acclimation,31,-116,20,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_shawii,Agave_shawii,53.2,Tmax,LT50,n,laboratory acclimation,31,-116,20,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_shawii,Agave_shawii,61.2,Tmax,LT50,y,laboratory acclimation,31,-116,20,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_utahensis,Agave_utahensis,-17.5,Tmin,LT50,y,laboratory acclimation,37.5,-115.5,1680,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_utahensis,Agave_utahensis,-9.7,Tmin,LT50,n,laboratory acclimation,37.5,-115.5,1680,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_utahensis,Agave_utahensis,54.4,Tmax,LT50,n,laboratory acclimation,37.5,-115.5,1680,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_utahensis,Agave_utahensis,57.2,Tmax,LT50,y,laboratory acclimation,37.5,-115.5,1680,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Ageratina_adenophora,Eupatorium_adenophorum,42,Tmax,LT50,no_data,,28.3,-17,NA,Asteraceae,perennial_herb,"Lösch, 1980"
Alchemilla_alpina,Alchemilla_alpina,45.7,Tmax,LT50,no_data,,60.6,7.5,1248,Rosaceae,cushion,"Gauslaa, 1984"
Alectryon_oleifolius,Alectryon_oleifolius,63.69,Tmax,Tmax,y,seasonal variation in the wild,-34.04,140.67,35,Sapindaceae,tree,"O’sullivan et al., 2017"
Allamanda_cathartica,Allamanda_cathartica,-2.6,Tmin,LT50,no_data,,18.3,-66.5,NA,Apocynaceae,shrub,"Biebl, 1964"
Allamanda_cathartica,Allamanda_cathartica,55,Tmax,LT50,no_data,,18.3,-66.5,NA,Apocynaceae,shrub,"Biebl, 1964"
Alnus_glutinosa,Alnus_glutinosa,47.1,Tmax,LT50,no_data,,59.67,10.78,105,Betulaceae,tree,"Gauslaa, 1984"
Alnus_incana,Alnus_incana,47.3,Tmax,LT50,no_data,,59.67,10.78,105,Betulaceae,tree,"Gauslaa, 1984"
Alnus_incana,Alnus_tenuifolia,52.37,Tmax,Tmax,y,seasonal variation in the wild,68.63,-149.6,720,Betulaceae,tree,"O’sullivan et al., 2017"
Alnus_incana,Alnus_rugosa,54.96,Tmax,Tmax,y,seasonal variation in the wild,47.96,-91.75,420,Betulaceae,tree,"O’sullivan et al., 2017"
Alnus_incana,Alnus_icana,56.12,Tmax,Tmax,y,seasonal variation in the wild,63.82,20.31,29,Betulaceae,tree,"O’sullivan et al., 2017"
Alnus_rubra,Alnus_rubra,-80,Tmin,FR,y,laboratory acclimation,47.61,-122.31,111,Betulaceae,tree,"Sakai & Weiser, 1973"
Alnus_rubra,Alnus_rubra,-50,Tmin,FR,y,laboratory acclimation,44.56,-123.29,74,Betulaceae,tree,"Sakai & Weiser, 1973"
Alphitonia_whitei,Alphitonia_whitei,57.72,Tmax,Tmax,y,seasonal variation in the wild,-17.12,145.63,728,Rhamnaceae,tree,"O’sullivan et al., 2017"
Alstonia_muelleriana,Alstonia_muelleriana,44.73,Tmax,T50,n,seasonal variation in the wild,-17.117,145.633,712,Apocynaceae,tree,"Zhu et al., 2018"
Alstonia_muelleriana,Alstonia_muelleriana,50.94,Tmax,T50,y,seasonal variation in the wild,-17.117,145.633,712,Apocynaceae,tree,"Zhu et al., 2018"
Alstonia_muelleriana,Alstonia_muelleriana,59.48,Tmax,Tmax,y,seasonal variation in the wild,-17.12,145.63,728,Apocynaceae,tree,"O’sullivan et al., 2017"
Alstonia_scholaris,Alstonia_scholaris,-1.7,Tmin,LT50,no_data,,-16.2167,145.4167,20,Apocynaceae,tree,"Cunningham & Read, 2006"
Alstonia_scholaris,Alstonia_scholaris,54.5,Tmax,LT50,no_data,,-16.2167,145.4167,20,Apocynaceae,tree,"Cunningham & Read, 2006"
Amyema_miraculosa,Amyema_miraculosa,48.9,Tmax,T50,no_data,,-32.46,137.74,14,Loranthaceae,shrub,"Curtis, 2017"
Amyema_quandang,Amyema_quandang,48.3,Tmax,T50,no_data,,-32.46,137.74,14,Loranthaceae,shrub,"Curtis, 2017"
Anaxagorea_crassipetala,Anaxagorea_crasipetala,59.6,Tmax,Tmax,y,seasonal variation in the wild,10.38,-84.62,600,Annonaceae,shrub,"O’sullivan et al., 2017"
Anemone_narcissiflora,Anemone_narcissiflora,50.87,Tmax,Tmax,y,seasonal variation in the wild,68.63,-149.6,720,Ranunculaceae,perennial_herb,"O’sullivan et al., 2017"
Angelica_archangelica,Angelica_archangelica_ssp._Archangelica,46,Tmax,LT50,no_data,,60.6,7.5,1248,Apiaceae,annual_herb,"Gauslaa, 1984"
Anisocampium_niponicum,Athyrium_niponicum,0,Tmin,LT50,no_data,,43.25,142.65,NA,Athyriaceae,perennial_herb,"Sato, 1982"
Anisotome_imbricata,Anisotome_imbricata,-13.2,Tmin,LT50,no_data,,-44.885,169.0988889,1520,Apiaceae,perennial_herb,"Bannister et al., 2005"
Anisotome_imbricata,Anisotome_imbricata,-8.2,Tmin,LT50,no_data,,-45.41805556,170.0913889,1240,Apiaceae,perennial_herb,"Bannister et al., 2005"
Anthocercis_littorea,Anthocercis_littorea,57.54,Tmax,Tmax,y,seasonal variation in the wild,-30.18,115,6,Solanaceae,shrub,"O’sullivan et al., 2017"
Antidesma_bunius,Antidesma_bunius,48.8,Tmax,Tmax,no_data,,23.68,101.98,770,Phyllanthaceae,tree,"Zhang et al., 2012"
